小区,纬度,经度
兆丰虹桥公寓,31.189606,121.430049
泗溏六村,31.338258,121.463987
华灵路880弄小区,31.285162,121.428312
明安馨苑,31.182199,121.448453
星秀苑,31.139872,121.443634
盛宅新屋,31.352161,121.417647
南站阳光小区,31.152716,121.434332
江杨小区,31.32728,121.462769
兴国花园,31.213651,121.444384
大闻公寓,31.205712,121.466571
吴兴路24弄小区(别墅),31.211862,121.447937
同泰北路201弄小区,31.384181,121.501291
大明公寓,31.209461,121.456963
好家园(927号),31.331461,121.45335
新月明月园,31.453813,121.410229
南大路118弄小区,31.306144,121.410825
申晖小区,31.203652,121.474525
锦冠公寓,31.378804,121.502758
共康小区,31.329392,121.447107
日晖一村,31.200948,121.471826
绿地公园广场,31.3549325,121.376094
平江大楼,31.206609,121.46314
大华虎城第三空间,31.278012,121.417998
复兴西路203号小区,31.217106,121.446264
前三营房,31.391257,121.505234
爱和大厦,31.194677,121.453211
上置美兰优湖,31.4088536,121.357605
光启公寓,31.195246,121.439372
古北陆翔苑,31.355214,121.37714
科汇景苑,31.1785,121.446264
泰和新城东区,31.357163,121.41374
兴都大楼,31.197145,121.451999
大华爱宅,31.281879020315,121.4250549
泗塘新村,31.344877,121.459714
爱乐大厦,31.194286,121.453014
保利叶上海二期,31.347775,121.362749
高安路18弄洋房,31.205996,121.453793
宛南小区,31.190089,121.45594
华和路601弄小区,31.356728,121.404801
新月鸿锦园,31.425849,121.419921
潼港三村,31.346272,121.578921
天池一村,31.19244,121.550093
富特五村,31.345339,121.592298
德州一村,31.175359,121.501362
潍坊八村,31.226259,121.534694
青厦小区,31.202753,121.694613
六里二村,31.191174,121.525588
金杨新村二街坊,31.256121,121.582131
金杨新村四街坊,31.250908,121.57946
东园四村,31.236236,121.518907
阳光摩天城,31.206242,121.519678
由由新邸,31.196538,121.532702
东方城市公寓,31.252142,121.552486
汤臣高尔夫(公寓),31.2306,121.588529
上南山水苑东区,31.164365,121.511338
海院小区,31.247781,121.542787
碧海现代苑,31.258438,121.607106
仁恒家园,31.338612,121.599327
圣马丽诺桥语别墅,31.223645,121.656318
山泉花苑,31.22087,121.532048
金芝苑,31.255369,121.589441
宜嘉苑,31.292292,121.613517
中大九里德苑三期,31.157383,121.313837
环岛翡翠湾,31.129830605045,121.33757477796
三湘四季花城紫薇苑,31.062695,121.234331
丽水华庭一期,31.096652,121.344949
天宝坊,31.024459,121.22566
新凯家园一期,31.112579,121.243185
豫全苑,31.127016,121.318351
亭南苑,31.110991,121.35276
久富苑,31.126749,121.324606
春申别墅A区,31.088105,121.372952
周家角,31.140736,121.333315
江川北路287号小区,31.121652,121.280865
环城路326弄小区,31.014207,121.262969
上林苑二期,31.048493,121.190363
三湘青年e+,31.1216716766357,121.264007568359
安信湖畔尚品,31.038553237915,121.222145080566
荣乐中路115弄小区,31.022705,121.241178
御盛豪园,31.039075,121.244236
新南路壹号(428弄),31.091205,121.353119
九洲星耀福邸,31.102904,121.281589
雅致房,31.055825,121.263913
合生城邦(四街坊别墅),31.026274,121.41197
保利茉莉公馆(三期别墅),31.103922,121.496197
保利茉莉公馆(一期别墅),31.100929,121.496838
海联花苑,31.193163,121.418798
御墅名邸国际酒店,31.210916269559,121.37677176298
碧林湾(别墅),31.145553,121.359819
浦江坤庭紫郡,31.095131,121.49433
万航渡路2534号小区,31.225284,121.412237
电机二村,31.009766,121.413288
定西路410弄小区,31.208979,121.429374
银虹花苑,31.112685,121.444138
君临六六公寓,31.011985,121.409976
哈密路432号小区,31.217705,121.381076
金银霄大厦,31.116896,121.388726
凯旋路130号小区,31.226927,121.421334
江苏路237弄小区,31.227572,121.437041
君临颐和花园,31.094834,121.399391
虹桥路洋房,31.202755,121.426807
凯旋路120号小区,31.227099,121.421317
古美四村,31.148453,121.410402
番禺路305弄小区,31.211403,121.435854
君怡公寓,31.184488,121.398595
宣化路223号小区,31.223364,121.432614
新空间家园,31.115838,121.401135
平武小区,31.213427,121.437938
水清二村,31.122051,121.388575
天山新五村,31.216223,121.393608
申莘一村,31.095959,121.391126
昭化路55弄小区,31.219015,121.435695
宣化路217-231号小区,31.22341,121.432965
虹井小区,31.191974,121.375411
银兆公寓,31.11282,121.446074
莘松五村,31.113089,121.374877
哈密路1332弄小区,31.20657,121.372688
华阳路298弄小区,31.229021,121.428642
龙柏公寓,31.188143,121.373521
哈密苑,31.208826,121.373883
长宁88金廷,31.2290117,121.431598
林茵湖畔园西区(公寓),31.212923,121.28495
鹤庆路810弄小区,31.012361,121.413252
松园别墅,31.203769,121.371979
万泰公寓,31.164406,121.354118
湖南路579弄小区,31.213922,121.440074
半岛豪门,31.141104,121.387095
虹警新苑,31.208632,121.389774
宣化路229号小区,31.223348,121.432257
鑫泽阳光公寓,31.057402,121.403666
新泾路120弄小区,31.20997,121.367731
延安西路1800号小区,31.213329,121.421064
新华路办公洋房,31.209254,121.431708
新渔路142号小区,31.222463,121.373134
横滨路35弄小区,31.271923,121.48309
横滨路7弄小区,31.267937,121.487575
衡水路206号小区,31.259103,121.490236
蒋家桥第二小区,31.278579,121.503751
虹口德兴里,31.25331,121.489227
虹口三联小区,31.261622,121.512179
虹口新康里(东区),31.252884,121.498621
虹临嘉园,31.26942,121.496588
南天潼社区,31.248973,121.489999
虹镇老街340弄小区,31.27426,121.509627
金田社区,31.261211,121.501952
培德坊,31.258388,121.507714
金叶商楼,31.272372,121.492851
华昌路164号小区,31.27027,121.482594
景云里,31.268156,121.48733
九华新邨,31.252321,121.490733
青云路146号小区,31.271005,121.482137
求安里,31.269422,121.48876
荣陆里,31.256125,121.489097
黄山路12号小区,31.274372,121.478047
瑞庆里,31.261212,121.497526
瑞源里,31.262514,121.497675
润德坊三街,31.273691,121.486814
润德坊一街,31.273592,121.486668
润德小区,31.25961,121.51264
三多里,31.264416,121.509521
三门路738弄小区,31.317011,121.48822
三门路766号小区,31.31679,121.485169
太仓国际广场,31.463312,121.142071
惠民路117弄小区,31.258656,121.51802
惠民路133弄小区,31.258733,121.518085
华润置地中央公园,31.319812,121.321442
嘉城馥邸,31.26983,121.348191
人民街158弄小区,31.381039,121.244076
古漪园路255号小区,31.296866,121.321372
德华路475号小区,31.300076,121.317048
黄渡镇杨木桥村别墅,31.294598,121.206157
好世广场天马公馆,31.325459,121.282833
远香湖九号(公寓),31.351779,121.271369
农房?D9空间,23.750356396976,107.60732382527
丰庄小区,31.254306,121.361862
北大街105弄小区,31.392616,121.256344
北水湾名邸,31.398417,121.249051
铂悦西郊,31.280144,121.193306
曹安路2049号小区,31.264143,121.354627
曹王社区158弄小区b区,31.439975,121.309709
槎溪路649弄小区,31.293698,121.328674
德华路328弄小区,31.301146,121.319493
德园路328弄小区,31.298555,121.317311
点晴苑,31.392921,121.27828
鼎立高尔夫花园,31.468402,121.246756
东大街161弄小区,31.395171,121.264431
华山路325号小区,31.225388,121.453857
海谊苑,31.311434,121.30965
华山路441号小区,31.223091,121.451039
泉灵小区,31.316191,121.447313
华山路480号小区,31.224421,121.449757
黄山路203弄小区,31.271678,121.473336
邻栖别墅,31.22714,121.462465
上海静安花园,31.231396,121.443583
新闸路1705号小区,31.235212,121.452125
新闸路1707号小区,31.234929,121.45217
万航渡路87号小区,31.231219,121.449758
新闸路653弄小区,31.243156,121.468568
延安中路923弄小区,31.228291,121.458785
闻喜路935弄小区,31.31386,121.454228
卓悦居二期,31.25023,121.465941
中治梦想荟,31.281235,121.43536
西康路338弄小区,31.238038,121.45639
愚园路608弄小区,31.228172,121.443011
乌北小区,31.223853,121.449861
昌平路1005号小区,31.238154,121.442565
兰田新村,31.253034,121.428248
圣天地酒店式公寓,31.249439108295,121.45019509519
逸流公寓一期,31.243726,121.427666
星港景苑(上海星港一期),31.250367,121.418987
四川中路185号小区,31.241485,121.495145
四达里小区,31.232716,121.500078
四川中路579号小区,31.247361,121.492598
四川中路617号小区,31.2481,121.492655
四川中路627号小区,31.248097,121.492691
四牌楼路127号小区,31.22911,121.502396
四牌楼路147号小区,31.228754,121.502357
四牌楼路149号小区,31.228548,121.502546
四牌楼路25弄小区,31.23132,121.50222
四牌楼路86号小区,31.229707,121.50173
四新小区,31.229288,121.501263
新乐里南街,31.227254,121.488392
新民里小区,31.222698,121.48119
新乐里南弄,31.227474,121.489268
苏州里,31.242538,121.476096
源博商务,31.225536,121.49035
圆景苑,31.215952,121.488254
新盛昌,31.236081,121.495945
新永安路13弄小区,31.236461,121.499196
新永安路4号小区,31.236482,121.499846
悦来公寓,31.226116,121.505812
新永安路8号小区,31.235685,121.498351
越界智造局二期,31.209147,121.488847
新闸路272号小区,31.245171,121.474823
越界智造局一期,31.212546,121.484306
桃源新城苑,31.21026,121.4837
桃园兴城苑北区,31.210965,121.483478
腾凤小区,31.24748,121.493247
馨空天地,31.215167,121.485262
翟溪新村,31.212676,121.502365
华建二街坊,31.1276,121.446145
康平路67号小区,31.21023,121.450068
璇宇花园,31.197396,121.432243
建业里,31.209697,121.458645
首长公寓,31.207924,121.452274
漕溪一村,31.18019,121.443422
百安小区,31.205847,121.453564
美罗家园,31.392553,121.346226
淮海中路新里,31.214025,121.448687
永嘉路166弄小区,31.215658,121.465306
中环V领地,31.299061857437,121.42795755456
珊珊小区,31.216963,121.458853
四元路366弄小区,31.419167,121.430229
徐汇祥和公寓,31.206958,121.467029
肇嘉浜路687弄小区,31.205592,121.457524
嘉善小区,31.216521,121.46642
美罗家园保翔苑,,
天平路71弄小区,31.20799,121.444722
大华水岸华府,31.280360771613,121.41738335653
宝山顾村,31.356314,121.372722
衡山路305号小区,31.209162,121.451866
襄阳南路368号小区,31.214221,121.464107
宝城新村1、2村,31.416005,121.495739
永嘉路别墅,31.21107,121.454907
宝纳文化源,31.305288,121.388886
襄阳南路306弄小区,31.21585,121.463788
肇嘉浜路669弄小区,31.206164,121.458777
宝杨路3158弄小区,31.380996,121.446751
顾村镇街15号小区,31.356728,121.404801
顾村镇街19号小区,31.356744,121.404559
高邮路公房,31.216171,121.442957
顾村镇街3号小区,31.353429,121.404535
海尚名城,31.400477,121.454254
衡山路696弄小区,31.205597,121.448467
东林路538弄小区,31.418378,121.49631
后河沿209号楼,31.412834,121.490194
交港公寓,31.379033,121.503198
陕西南路188弄小区,31.225006,121.464107
牡丹江路290弄小区,31.385584,121.502198
建国西路381号小区,31.210271,121.461346
南大路8弄小区,31.305824,121.417886
后河沿213号小区,31.41277,121.490129
海光公寓,31.202976,121.468323
平江路145弄小区,31.205771,121.460615
久安小区,31.206588,121.453163
呼兰路699号小区,31.343833,121.450282
亨利老公寓,31.223794,121.460826
虎林路518弄小区,31.346182,121.462455
虎林路77弄小区,31.334354,121.466452
宝庆路18弄小区,31.216578,121.456389
沪太路3079弄小区,31.318273,121.418027
徐汇金桂苑,31.168674,121.42011
沪太路3888弄小区,31.332339,121.412373
沪太路4361号小区,31.351581,121.405234
华灵路1500弄小区,31.283027,121.430833
青石路290弄小区,31.321484,121.500553
上钢八村,31.177335,121.491856
蕉丽新村,31.206685,121.617604
耀高小区,31.181153,121.496024
金桥湾南二小区,31.260825,121.604403
崂山三村,31.241167,121.524548
杨园新村,31.321623,121.638181
德州二村,31.175088,121.498667
梅园高层小区,31.237006,121.531655
金杨新村一街坊,31.253549,121.577437
东陆新村四街坊,31.282495,121.600622
龙威茗庭,31.115711,121.579972
昱龙家园(北区),31.129437,121.60309
康桥花园东园,31.152713,121.572378
华高苑(北区),31.290797,121.613365
雍江星座,31.218006,121.520793
欣梅苑(西区),31.031817,121.708644
爱法奥朗新庄园,31.039604,121.590397
欣松苑,31.029275,121.706012
汇腾东苑,31.097398,121.592586
双秀西苑,31.128549,121.564092
丰怡苑,31.272655,121.687986
和龙新苑,31.355369,121.573029
欣连佳苑,31.335935,121.624916
莲珠大厦,31.187838,121.562405
张杨小区,31.236987,121.538725
松江万达广场,31.0627754,121.247652
九久青年城,31.143085,121.325317
虬长路334弄小区,31.021407,121.313328
普照路104弄小区,31.0124,121.246791
耀江西村,31.016599,121.261539
奥林匹克花园一期,31.156215,121.332197
山水四季城一期,31.126241,121.255497
方塔南路74弄小区,31.010173,121.255386
泗砖路134弄小区,31.113279,121.289812
北场第一小区,31.110796,121.352545
方塔南路20弄小区,31.008811,121.255227
谷阳北路158弄小区,31.022117,121.243601
驰久公寓,31.104028,121.320103
谷阳南路11号小区,31.00957,121.243147
谷阳南路1号小区,31.00907,121.243169
谷阳南路21号小区,31.010473,121.242888
谷阳南路25号小区,31.010941,121.242909
谷阳南路2号小区,31.00916,121.244041
谷阳南路47号小区,31.012179,121.242762
谷阳南路34号小区,31.011517,121.243735
谷阳南路40号小区,31.011794,121.243556
谷阳南路43号小区,31.012029,121.242648
谷阳南路4号小区,31.009183,121.243919
谷阳南路50号小区,31.012234,121.243764
谷阳南路52号小区,31.012144,121.24341
谷阳南路5号小区,31.00931,121.243239
谷阳南路6号小区,31.009128,121.24382
谷阳南路7号小区,31.009321,121.243185
安西路300弄小区,31.224543,121.431744
番禺路277弄小区,31.21192,121.435746
晨韵公寓,31.200156,121.389709
古北强生花园,31.200078,121.406609
定西路380弄小区,31.208346,121.429361
江苏路46弄小区,31.229748,121.434322
定西路400弄小区,31.208776,121.429283
虹桥路965弄小区,31.202647,121.424541
君座别墅,31.197055,121.379918
万科时一区(三期),31.210058,121.316694
好世樱园(南区),31.087446,121.408929
德国式花园洋房,31.217507,121.441111
淮海路1670弄小区,31.206271,121.434973
圣特丽墅(别墅),31.084586,121.40919
上城updown,31.19755,121.419248
明申花园(别墅),31.186911,121.405564
申晨公寓,31.224235,121.416321
娄山关路969弄小区,31.22123,121.411191
浦江坤庭翠御(公寓),31.098625,121.494241
名都城(别墅),31.196801,121.404446
合生城邦(一街坊别墅),31.025675,121.418204
青南小区,31.159211,121.357209
华菁公寓,31.187431,121.361269
平阳一村,31.141443,121.388835
天山路1890弄小区,31.215183,121.419811
申莘新村,31.096897,121.393394
兴国路370号小区,31.211663,121.443706
莘松四村,31.110951,121.375765
万村社区,31.229853,121.440333
豪嘉府邸,31.186257,121.394641
万航渡路1425号小区,31.231538,121.427786
颛溪五村,31.072131,121.403072
宣化路219号小区,31.223354,121.43275
航华一村一街坊北小区,31.183441,121.364009
宝南新村(南区),31.153853,121.360413
东碧林湾,31.145406,121.368405
宣化路221号小区,31.223335,121.432268
宣化路231号小区,31.22335,121.432117
万科笠泽苑,31.162215,121.342664
中渊居,31.218908,121.4396
双流小区,31.217869,121.387835
臻园(别墅),31.196169,121.408341
怡甸别墅,31.210449,121.378554
西郊紫薇花园,31.213707,121.390275
浦江华侨城(二期),31.107302,121.498337
万科时一区(二期),31.208587,121.319551
万源城E1,31.153786,121.404258
安化路177号小区,31.221434,121.434946
昭化东路203号小区,31.219456,121.440558
浦江华侨城(二期别墅),31.107857,121.504986
佳宝二村,31.161031,121.350578
安化路181号小区,31.221435,121.434438
惠民路57弄小区,31.257908,121.51823
惠民路洋房,31.258935,121.518833
沙发公寓,31.288689,121.490243
霍山路131号小区,31.260353,121.517146
霍山路237弄小区,31.261004,121.518859
山寿里,31.252089,121.49908
吉祥路塘里,31.27258,121.495802
溧阳路1208弄小区,31.268909,121.492062
山阴路192弄小区,31.272561,121.490904
山阴路351号小区,31.275231,121.49212
凉城路368弄小区,31.291444,121.476875
临平国际公寓,31.267422,121.496874
上海第5季虹韵家园,31.289668,121.472235
胜峰大楼,31.311948,121.471958
水电路190弄小区,31.280622,121.47953
水电路368弄,31.283305,121.481395
水电路541弄小区,31.286211,121.48329
水电路88弄小区,31.279159,121.478217
顺和里,31.250376,121.490604
四川北路1914弄小区,31.268137,121.490235
顺天坊,31.256733,121.492736
恒业路378号小区,31.271444,121.479947
四川北路136弄小区,31.273563,121.489222
四川北路1501号小区,31.260586,121.489899
四川北路1700弄小区,31.262694,121.490077
四川北路1702弄小区,31.263412,121.491055
四川北路1970号小区,31.269201,121.490792
四川北路2023弄洋房,31.269746,121.489028
四川北路2043弄小区,31.270231,121.489747
四川北路2222号小区2305号小区,31.273378,121.489364
吉田国际酒店公寓,31.357434,120.967506
建伟新天地,31.462801,120.954463
民乐社区西区,31.367786,121.252644
民主东街142弄小区,31.30022,121.322149
民主东街147弄小区,31.300598,121.32322
翡翠名都(商住楼),31.369811,120.98532
民主东街150弄小区,31.300089,121.321742
民主街公房,31.300722,121.324098
江桥老街生活大院,31.263733,121.348168
鸿泰乐颐小镇(别墅),31.800314,121.433064
彭赵村丰登路中区1551弄,31.355151,121.284737
彭封路南区,31.347909,121.288659
梵石壹鼎院,30.202409,121.152687
沪宜公路3758弄小区,31.377479,121.246556
峙山庄园,30.156617,121.239632
泾河花园别墅,31.400427,121.238454
华江路1028号小区,31.237837,121.331115
华润置地中央公园二期,31.317747,121.322788
菊园六里村,31.353842,121.215003
清河路397号小区,31.377485,121.236357
华庄中心村,31.241278,121.322788
虬泾桥农民小区,31.26318,121.204659
黄家花园,31.259624,121.327143
李家村,31.353858,121.338483
沥苑新村,31.344209,121.290981
嘉宝大楼,31.299624,121.320651
上海和秋新公寓,31.306814,121.16179
嘉戬支路120弄小区,31.381663,121.303878
嘉戬支路164弄小区,31.382874,121.303048
嘉戬支路208号小区,31.381475,121.303816
嘉戬支路215弄小区,31.381194,121.304005
建华村,31.26169,121.358981
陕西北路338弄小区,31.235437,121.460588
富民路新里,31.224696,121.458054
乌鲁木齐北路326号小区,31.227235,121.449236
新闸路1213号小区,31.238699,121.459632
申银发展大厦,31.240563,121.460781
乌鲁木齐中路27弄小区,31.222393,121.450787
新成大楼,31.23554,121.473017
新闸大厦,31.23356,121.449242
泰兴大楼,31.236424,121.465418
巨富大厦,31.22694,121.457022
扬波大厦,31.260749,121.482948
平型关路255弄小区,31.276016,121.472515
众乐小区,31.239848,121.456965
卫茂大厦,31.261421,121.467872
景凤路521弄小区,31.325651,121.46361
虬江路1110号小区,31.256794,121.478006
共和新路2205弄小区,31.283775,121.460411
黄山路290号小区,31.272059,121.474448
保德路241弄小区,31.323831,121.469518
宝昌路520弄小区,31.26582,121.479376
宏业公寓,31.265013,121.476692
红厦公寓,31.255553,121.478335
绿房子,31.234054,121.455483
新鑫公寓,31.263719,121.465125
泾阳路129弄小区,31.244259,121.370808
府村苑,31.261397,121.423766
东旺家苑,31.249227,121.381516
芝川新苑,31.263928,121.409042
岚皋路433弄小区,31.261152,121.427918
大华愉景华庭一期,31.276464,121.407522
桃浦一村,31.288573,121.360338
申环花苑,31.287799,121.392545
大众河滨酒店式公寓,31.2464237213135,121.444175720215
谈家渡社区,31.241738,121.429819
居乐福,31.249254,121.455361
振华社区,31.260784,121.445394
枫杨园,31.247732,121.416973
华师名苑,31.235726,121.402468
武宁四村,31.249718,121.431554
同济大学沪西家属区,31.27718,121.397393
蒲发小区,31.243193,121.437854
长乐路386弄小区,31.227542,121.46783
兴安路133号小区,31.226981,121.477257
兴安路161号小区,31.226877,121.476953
兴安路135号小区,31.22775,121.478693
兴安路153号小区,31.226806,121.47694
建国西路581弄小区,31.209053,121.457267
武康路20号小区,31.219117,121.446608
兴安路89号小区,31.227304,121.4788
东平路2号洋房,31.214869,121.457335
天柱山路17弄小区,31.216905,121.499849
生活花苑,31.174962,121.455304
长乐路637弄小区,31.222735,121.457043
珍兴里,31.240859,121.474328
幸运坊公寓,31.219457,121.492344
同仁坊,31.221405,121.487061
陕南公寓,31.216528,121.467647
柳林村,31.219285,121.451372
外经贸商务楼,31.244525,121.48975
徐家汇路358号小区,31.21521,121.480971
安亭路花园洋房,31.207864,121.454346
高安路69弄小区,31.208478,121.45342
徐家汇路398号小区,31.215009,121.480073
梓树苑,31.169265,121.436849
徐家汇路454弄小区,31.214765,121.480093
徐家汇路76弄小区,31.217387,121.48656
复兴中路1325弄小区,31.21746,121.459761
制造局路370弄小区,31.212071,121.490765
复兴中路1458号甲小区,31.217009,121.45604
中和村,31.228013,121.471608
衡山路18号老洋房,31.211048,121.452503
薛家浜路136号小区,31.217851,121.509071
淮海路洋房,31.211554,121.445026
淮海中路1176号小区,31.220835,121.459705
雪龙新村,31.200611,121.4837
薛家浜路39号小区,31.218989,121.509049
淮海中路1274号小区,31.220422,121.458739
淮海中路1276号小区,31.220166,121.458084
康建路120弄小区,31.171605,121.433441
中山南一路302号小区,31.205205,121.492931
中南小区西区,31.205951,121.491004
康平路152弄小区,31.208325,121.446918
渭水坊,31.24307,121.48343
太原路56弄小区,31.21468,121.460637
文盛坊,31.223,121.502255
宛平南路65弄小区,31.20261,121.452055
中一大楼,31.246507,121.49147
吴兴路24弄小区,31.211862,121.447937
永福路49弄小区,31.217855,121.451017
杨氏公寓旧址,31.226868,121.476264
永福路72弄小区,31.216443,121.449655
永嘉路371号小区,31.214524,121.463238
永嘉路418弄小区,31.213476,121.460768
也是园,31.222987,121.499357
紫华路30弄1支弄,31.231245,121.495508
太原路311弄小区,31.208921,121.462701
李金怡心园,31.375,121.495074
机关大院,31.380912,121.500965
联东村,31.3188,121.410706
联合滨江花园,31.377111,121.501112
盛宅居住区B块商品住宅,31.359478,121.419526
石太路88弄小区,31.460547,121.406441
市二路70弄小区,31.419659,121.351031
水上新村旧住房改造,31.413648,121.494991
水韵华庭(二期),31.274752,121.42947
美罗家园宝欣苑四村,31.393215,121.342791
泗东小区,31.373404,121.49104
淞滨支路15弄小区,31.374154,121.49491
远景佳苑三期,31.29169,121.423263
兴达利盛宅花园,31.359035,121.418723
真北路4335弄小区,31.298951,121.413405
真华路950号小区,31.278679,121.41805
中食新村,31.307618,121.410104
益刚公寓,31.378576,121.502328
逸仙路1258弄小区,31.321077,121.491239
军休欣苑,31.31804,121.495444
宝杨路2021弄小区,31.396309,121.473175
长江路406弄小区,31.354696,121.499832
逸亭佳苑,31.121118,121.592617
微南小区,31.213128,121.519899
新高桥春晖苑,31.34551,121.588655
雅景公寓,31.239027,121.551623
凌港城,31.176186,121.740954
兴欣花苑,31.030784,121.655383
东和公寓,31.221806,121.545811
大华锦绣华城十街区,31.190699,121.542203
三林路380号小区,31.144276,121.505874
上南花苑(二期),31.185927,121.50991
上南嘉园,31.122325,121.577605
绿洲康城金邸,31.158664,121.583281
地纬家苑,31.237738,121.72851
凌兆玉兰苑,31.146917,121.507782
新高苑雅园,31.298415,121.629863
莱金佳园,31.286767,121.589155
龙科公寓,31.196597,121.56097
陆家嘴金融城人才公寓西区,31.20777,121.540242
绿地景汇佳苑,31.11348,121.585686
东唐苑北区,31.215415,121.658919
谷阳南路9号小区,31.009547,121.243201
丽江锦庭,31.28551,121.583881
六街坊小区,31.215039,121.560462
谷阳南路8号小区,31.009351,121.243848
鼓浪路89号小区,31.122475,121.288506
沪松路46号小区,31.022038,121.250911
春源小区,31.08875,121.370734
桂花锦园,31.104703,121.25482
横港路133号小区,31.118835,121.269721
南场一村,31.103538,121.349235
沪松公路685弄小区,31.142142,121.319236
靖多苑,31.114325,121.286228
乔爱别墅城,31.089907,121.360863
九干路100弄小区,31.13495,121.299107
华亭新家三辰苑,31.01806,121.195103
环城路117弄小区,31.015604,121.260822
环城路111号小区,31.014439,121.260851
环城路121弄小区,31.015557,121.25868
环城路88号小区,31.00914,121.260922
环城路851弄小区,31.017408,121.254615
荣乐中路12弄小区,31.025241,121.247548
三湘四季花城桂花苑,31.060619,121.23659
上海威氏经济小区,31.001809,121.210151
上海振华经济小区,31.01936,121.224061
佘山湾,31.114922,121.242136
四泾镇安乐街136号小区,31.117055,121.289522
四泾镇鼓浪路402弄小区,31.121889,121.28389
四泾镇安乐街60号小区,31.116666,121.288437
四泾镇鼓浪路819号小区,31.119414,121.273809
江川北路134弄小区,31.118446,121.281281
泗泾江川北路23号小区,31.121846,121.280202
招商雍华苑(别墅),31.080672,121.413257
阳光乾城苑(别墅),31.160999,121.377341
复地北桥城(东区别墅),31.040627,121.425787
明泉璞院(别墅),31.170978,121.374774
红醍半岛(别墅),31.102853,121.492254
颛兴路100弄小区,31.073381,121.405779
平阳三村,31.138252,121.389301
亿豪名邸,31.149977,121.364646
森安苑,31.124499,121.428319
星丰苑,31.133767,121.385613
青杉路200弄小区,31.182318,121.371028
苹果园(公寓),31.180182,121.397327
茂盛花苑,31.176523,121.344444
东苑世纪茗苑,31.115428,121.384118
三佳花苑,31.161371,121.367726
闵行向阳公寓,31.072601,121.421981
西郊公寓,31.189798,121.374653
美琪花苑,31.098328,121.441641
华府天地愉园,31.057521,121.363927
东苑古龙城(古龙郦都公寓),31.158096,121.407102
中梅苑(东区),31.134797,121.42544
金臣汇,31.209764,121.278972
塘泾北苑,31.051249,121.451335
马德里洋房,31.206625,121.296625
阳光乾城苑(公寓),31.160506,121.378324
蓼花汀花园(公寓),31.142139,121.370118
豪世盛地,31.15727,121.35237
好世樱园(北区),31.089373,121.409255
安化路117号小区,31.221756,121.436288
安化路183号小区,31.221415,121.434672
安化路185号小区,31.22147,121.434563
安化路187号小区,31.221225,121.434736
安化路115号小区,31.221699,121.436152
安化路121号小区,31.221486,121.436288
安化路125号小区,31.221579,121.435742
安化路129号小区,31.221621,121.435646
利西路52号小区,31.221576,121.437371
利西路62号小区,31.221593,121.437132
利西路54号小区,31.221615,121.437573
利西路123号小区,31.221093,121.436109
利西路131号小区,31.221075,121.436685
利西路133号小区,31.220998,121.436415
利西路124号小区,31.221003,121.436378
利西路160弄小区,31.221115,121.436805
安化路201号小区,31.221481,121.434396
利西路96号小区,31.221571,121.436782
利西路32号小区,31.221757,121.437986
利西路166号小区,31.221524,121.435315
利西路164号小区,31.2212,121.435498
利西路128号小区,31.221065,121.436611
利西路126号小区,31.221026,121.436441
番禺路323号小区,31.211177,121.436217
中山西路650号小区,31.216091,121.418794
中山西路652弄小区,31.216163,121.418701
昭化路301号小区,31.21856,121.432255
延安西路548弄60支弄小区,31.224055,121.442214
伊犁路110弄小区,31.206882,121.414347
金浜路105弄小区,31.204048,121.367623
四川北路2305号小区,31.274688,121.487211
四川北路254弄小区,31.251827,121.491784
四川北路2319弄小区,31.274682,121.487246
四川北路518号小区,31.25278,121.49224
四川北路272弄小区,31.273671,121.489253
猛将弄,31.256224,121.49498
四川北路64弄小区,31.273945,121.488975
四川北路807号小区,31.253445,121.491372
四川北路817号小区,31.253495,121.4914
四川北路981号小区,31.256138,121.490996
四川路1348号小区,31.263614,121.488194
四川路2285号小区,31.274366,121.4879
甚蓝公寓小区,31.275836,121.265167
四达路220弄小区,31.273829,121.49374
绿苑大厦,31.273432,121.221478
双佳翠庭,31.24758,121.31311
梅园二区别墅,31.321518,121.171457
四达路222弄小区,31.27381,121.493196
梅园三区别墅,31.333737,121.174775
四达路227弄小区,31.273349,121.493309
四平路211号小区,31.267081,121.495421
四平路184弄小区,31.267338,121.49657
美丽华度假村联体别墅,31.285581,121.196847
泰辰景苑,31.253657,121.383197
四平路22弄小区,31.26044,121.494254
泰盛别墅二区,31.315195,121.216919
四平路308弄小区,31.271072,121.49859
四平路494弄小区,31.273315,121.50058
四平路508弄小区,31.273682,121.500915
四平路641号小区,31.276837,121.503027
四平路753号小区,31.277869,121.50442
松花江路2605弄小区,31.29825,121.504589
中泾村,31.357436,121.127967
温宿路41弄小区,31.387894,121.24758
太保公寓楼,31.256571,121.496507
阳光苑二区,31.31358,121.323707
源福里,31.263905,121.515848
祝家角居住小区,31.24128,121.313945
新市北路小区,31.311417,121.486986
仙桥新邨,31.349454,121.150116
猗园新村,31.290584,121.314558
运光路15弄小区,31.298005,121.499222
运光路5弄小区,31.298669,121.499183
天厚里,31.26507,121.508285
育兰社区(东区),31.336168,121.291904
玉兰水仙小区,31.301404,121.165699
梅园路67弄小区,31.392252,121.25149
北大街161弄小区,31.394091,121.255671
民主街276弄小区,31.295984,121.314246
华江路121弄小区,31.260717,121.348946
温宿路39弄小区,31.393303,121.254077
迎园路300弄65支弄小区,31.392487,121.277991
